,botscore,tweet_id,user_id
88,0.05,,26244235
89,0.16,,2620177913
0,0.35,,1074577603019689984
1,0.13,,755993304878059520
2,0.03,,3008410881
3,0.14,,457714212
4,0.31,,1150470977236733952
5,0.03,,2270628361
6,0.46,,1197055440267296770
7,0.21,,1176289292945100802
8,0.04,,3043678901
9,0.02,,568850632
10,0.04,,24911347
11,0.04,,2747744101
12,0.35,,1599121112
13,0.39,,1007464393301479425
14,0.24,,1042155281336156161
15,0.07,,202039047
16,0.18,,3313329699
17,0.17,,18964972
18,0.22,,1099305969744531457
19,0.13,,1178185960879734784
20,0.09,,453117264
21,0.09,,835025138340917248
22,0.05,,297525686
23,0.69,,891779660136067072
24,0.06,,4018928475
25,0.12,,1905856771
26,0.2,,333574047
27,0.44,,1007096553499004928
28,0.09,,125737792
29,0.08,,828227623
30,0.16,,17675018
31,0.64,,811499817092288512
32,0.18,,942206043014045696
33,0.0,,2348656308
34,0.04,,317721795
35,0.02,,612787070
36,0.29,,1074244766605295617
37,0.11,,905045013201084416
38,0.08,,3997926083
39,0.1,,614941426
40,0.14,,498949148
41,0.12,,1142303207873363976
42,0.05,,47925251
43,0.01,,552789896
44,0.26,,749348284401987585
45,0.14,,3289586317
46,0.02,,261300649
47,0.37,,229090563
48,0.03,,300708441
49,0.2,,330929071
50,0.11,,165289057
51,0.12,,3776828298
52,0.05,,919202078525882368
53,0.07,,294962856
54,0.04,,330012555
55,0.12,,1727846706
56,0.08,,708580351
57,0.04,,1068400225897889792
58,0.1,,1167751746518564865
59,0.06,,781291956685119489
60,0.72,,1088503039965650944
61,0.08,,15201843
62,0.0,,123461692
63,0.0,,1616000132
64,0.03,,2522962297
65,0.06,,701236004
66,0.46,,956407844
67,0.39,,30630790
68,0.1,,1105067783090429952
69,0.11,,1072083481776156673
70,0.01,,1199027114
71,0.4,,1335792128
72,0.01,,719204276
73,0.29,,1730027498
74,0.05,,2720969760
75,0.08,,2196428693
76,0.28,,782260639230111744
77,0.01,,2886692932
78,0.07,,4846636740
79,0.01,,23542169
80,0.36,,1185730887356276736
81,0.74,,989828160677171201
82,0.02,,551621253
83,0.17,,1163635324335116288
84,0.13,,1031880697
85,0.12,,2541172959
86,0.02,,50425200
87,0.0,,730522518
0,0.38,,1080326494486839296
1,0.03,,2212760196
2,0.31,,179419936
3,0.1,,926856331
4,0.18,,3036654960
5,0.17,,1013108643405934592
6,0.31,,101348748
7,0.12,,25179455
8,0.66,,18385256
9,0.04,,999793526
10,0.14,,1023095515255394304
11,0.4,,56967851
12,0.08,,815785411456958464
13,0.02,,199772515
14,0.45,,882797819534471168
15,0.05,,631027642
16,0.01,,514992612
17,0.05,,132929614
18,0.15,,3264626078
19,0.36,,1197233065
20,0.26,,1137088104865701891
21,0.05,,3304150149
22,0.49,,1142252805270360065
23,0.01,,2349404041
24,0.02,,3312944142
25,0.03,,323958253
26,0.04,,848050335281274880
27,0.48,,982540322860232705
28,0.02,,1489087908
29,0.03,,729413932897677312
30,0.1,,2757989710
31,0.28,,881297346
32,0.06,,1388695586
33,0.09,,453451419
34,0.09,,3171964399
35,0.11,,255828812
36,0.15,,1033858248036831232
37,0.25,,4691677110
38,0.17,,809490888682573825
39,0.12,,844700057039486978
40,0.25,,1010195275229597696
41,0.02,,2767223151
42,0.05,,1173577236
43,0.17,,200437655
44,0.3,,808016089926008833
45,0.03,,2361376151
46,0.21,,1190858744147533824
47,0.03,,393701251
48,0.16,,129329927
49,0.11,,844658426068250625
50,0.01,,751423873
51,0.04,,325355201
52,0.03,,1429616023
53,0.03,,769785800774918148
54,0.1,,800173807520522241
55,0.07,,44511515
56,0.07,,2476133510
57,0.12,,19948234
58,0.01,,2211650586
59,0.29,,1156077553771327488
60,0.5033333333333333,,1055146352848584704
61,0.15,,906945687207559168
62,0.37,,553762366
63,0.02,,39832912
64,0.06,,3292977208
65,0.05,,1393337054
66,0.01,,532591207
67,0.08,,16656127
68,0.53,,1147776334401286144
69,0.07,,828843469724598272
70,0.39,,1199939392321867779
71,0.0,,836958060
72,0.03,,67967980
73,0.03,,15112930
74,0.02,,33866039
75,0.0,,500920030
76,0.4,,508919838
77,0.42,,48636684
78,0.86,,1372601312
79,0.18,,1084252452004810752
80,0.03,,440017376
81,0.03,,1458109675
82,0.58,,1195498412583636995
83,0.14,,3395041528
84,0.17,,1569637561
85,0.06,,15672001
86,0.32,,2947732005
87,0.11,,730535330185498624
88,0.36,,1074874929374351360
